,Tweet Body ,Sentiment ,processed_content
21,They say abs are made in the kitchen. Sugar is a problem for me  I can’t even have junk food in my house or I’m gonna eat it.,Neutral,they say abs are made the sugar problem for even have junk food house gonna eat
22,I was so hungry today from waiting so late to eat lunch that I almost passed out…and I was shaking. How was I ever anorexic. Like seriously?,Neutral,was hungry today from waiting late eat lunch that almost passed was how was ever like
23,"If so, what exactly is the problem? What if he ordered McDonald’s or a dinner from the chef? It would be obvious that no one who didn’t have the security clearance could be in the room for the food delivery. I don’t see this as a problem or an issue at all. #KAG2020",Neutral,what exactly the what ordered dinner from the would obvious that one who have the security clearance could the room for the food see this problem issue
24,My anorexia,Positive,anorexia
25,"But anyways, the problem is, I looked at the big thing, and really it wasn't that big, and I just couldn't do it. So I did all the small things on my to do list. Ordered pet food. Created that webpage (that's easy for me, I realize it isn't easy for others), other things.",Neutral,but the problem looked the big and really that and just did all the small things ordered pet created that webpage easy for realize easy for other
26,"Pl. do not expect press& Politicians to educate public on Diet/food items that protect Health as they want some problem or other all the times to make their presence. The importance& medicinal value of seasonal food items, habits etc. are to be passed on from Parents to children.",Neutral,not expect politicians educate public items that protect health they want some problem other all the times make their the medicinal value seasonal food habits are passed from parents
27,everyone keeps asking me if ive eaten like yall 😭 ive had a binge eating disorder since kindergarten trust me ive EATEN,Neutral,everyone keeps asking ive eaten like yall ive had binge eating disorder since kindergarten trust ive eaten
28,Back to my eating disorder shit,Neutral,back eating disorder shit
29,favorite part about my eating disorder (arfid) is that i can eat 3 meals a day for less than $15 bc i simply eat a small amount of the same thing for all 3 💀,Neutral,favorite part about eating disorder that can eat meals day for less than simply eat small amount the same thing for all
30,i just ate pizza i am the worst anorexic,Negative,just ate pizza the worst anorexic
31,"My goal this month is to be KINDER to myself. When depressed I either go long days w out eating then binge eat, or I drink more than I should,&then put myself down for my bodies reactions. I want to love each version of myself more and more everyday and treat her kindly.",Positive,goal this month kinder when depressed either long days out eating then binge drink more than put myself down for bodies want love each version myself more and more everyday and treat her
32,"I fight the anorexic thoughts as hard as I can and eat to be able to keep my apartment, to have the energy to give Ollie dog the best life full of long walks, I have energy to live, to travel to meet my friends and make memories to cherish. To live a life.",Positive,fight the anorexic thoughts hard can and eat able keep have the energy give ollie dog the best life full long have energy travel meet friends and make memories live
33,"I dont understand. Is there a problem with ketchup on hotdogs? ALSO, why do people feel entitled to tell others how to eat their food? Im gonna go eat a ketchup steak now just because I can.",Neutral,dont there problem with ketchup why people feel entitled tell others how eat their gonna eat ketchup steak now just because
34,ok at this point i have binge eating disprder maybe fasting is just the way to go ill just fast for days and then try to restrict ,Negative,this point have binge eating disprder maybe fasting just the way ill just fast for days and then try restrict
35,"I struggled with anorexia for a decade. I still have days where I feel not good enough. ED is real and mostly impacts women. It's the deadliest mental disorder. It is being buried by gender dysphoria because it's inconvenient: media can induce dysphoria, it's not a natural state.",Neutral,struggled with anorexia for still have days where feel not good real and mostly impacts the deadliest mental being buried gender dysphoria because media can induce not natural
36,"Family-based treatment strategies for managing school lunches, based on ""When Your Teen Has an Eating Disorder,"" by Dr. Muhlheim, PsyD",Neutral,treatment strategies for managing school based your teen has eating psyd
37,Is Greta anorexic? She incredibly thin.,Neutral,greta she incredibly
38,Orthorexics and/or anorexic in denial usually take magnesium supplement for its laxative effect. So yeah hmmm,Negative,orthorexics anorexic denial usually take magnesium supplement for its laxative yeah hmmm
39,i honestly may be the worst anorexic but i rlly wanna do good this month i love the cold it makes me feel so good and my new cool clothes r coming in soon nd i wanna fit into that skirt so bad,Neutral,honestly may the worst anorexic but rlly wanna good this month love the cold makes feel good and new cool clothes coming soon wanna fit into that skirt bad
40,this is so unhealthy please stop promoting anorexia and focusing on weight,Negative,this unhealthy please stop promoting anorexia and focusing weight
41,These the same niggas and bitches that be raving about how great strip club food is now niggas got a problem with twerking at the dinner table 🙄,Neutral,these the same niggas and bitches that raving about how great strip club food now niggas got problem with twerking the dinner table
42,"Anorexia is the norm for us...  Not, the exception…",Negative,anorexia the norm for the
43,"Thank you to the creators of #resettingfood for a powerful, thought provoking conversation with so many voices across the globe bringing their unique and valuable perspectives. As was said, “together we’ve already started to fix them [the food problem]. Let’s make the future work",Neutral,thank you the creators for thought provoking conversation with many voices across the globe bringing their unique and valuable was already started fix them food make the future work
44,My problem is I be expecting food to just appear in the morning ,Neutral,problem expecting food just appear the morning
45,"""While eating disorders have increased by more than 50 per cent among females during the pandemic, experts say the difficulties men and boys have speaking about mental health adds to the likelihood many are suffering from the same disorders alone.""",Negative,eating disorders have increased more than per cent among females during the experts say the difficulties men and boys have speaking about mental health adds the likelihood many are suffering from the same disorders
46,bruhhhhhhhhhh cook out is gas 😭 the closest one to me is in 2 hours away. Their platters are so good binge eating on a budget lmfao,Neutral,bruhhhhhhhhhh cook out gas the closest one hours their platters are good binge eating budget lmfao
47,"To prevent eating disorders, it's important to foster a positive relationship with food and body image. Promote a healthy self-esteem, encourage open conversations about body image and mental health, and educate individuals about the",Positive,prevent eating important foster positive relationship with food and body promote healthy encourage open conversations about body image and mental and educate individuals about the
48,People who don’t have eating disorders and actively interact with edtwt are so annoying omg,Negative,people who have eating disorders and actively interact with edtwt are annoying omg
49,what makes u guys think u can make fun of people with eating disorders for no reason,Negative,what makes guys think can make fun people with eating disorders for reason
50,there's one woman who's literally promoting eating disorders on tiktok and acts all innocent abt it ,Negative,one woman literally promoting eating disorders tiktok and acts all innocent abt
51,this aint even edtwt ur talking abt anymore ur just talking about eating disorders in general,Negative,this aint even edtwt talking abt anymore just talking about eating disorders general
52,"""diagnosing"" anyone who's maintaining a healthy diet and working out with eating disorders and claiming that they're torturing themselves for other people's approval is NOT helpful for people with actual eating disorders.",Negative,anyone maintaining healthy diet and working out with eating disorders and claiming that torturing themselves for other approval not helpful for people with actual eating
53,sometimes i think y’all forget people who aren’t active on that side of twitter or social media in general have severe eating disorders too so y’all use that as a way to be overly insensitive. or y’all just don’t care,Negative,sometimes think forget people who active that side twitter social media general have severe eating disorders too use that way overly just care
54,I don't disagree that happens but the problem with pensions at the low rate they are and rents around here being as high as they are some just can't afford food or heat too.,Neutral,disagree that happens but the problem with pensions the low rate they are and rents around here being high they are some just afford food heat
55,my dad suggesting me pizza .. i am anorexic and currently trying to keep my calorie intake under 100 today mind your own business ,Negative,dad suggesting pizza anorexic and currently trying keep calorie intake under 100 today mind your own business
56,A woman tries to balance her relationships with her mother and teenage daughter while under the shadow of #anorexia in the atmospheric British drama #BodyofWater.,Neutral,woman tries balance her relationships with her mother and teenage daughter while under the shadow the atmospheric british drama
57,"Is it just me who eats less then usual and feels sick after eating from skipping meals/not eating any food all day,used to have an eating disorder I've been working on it and its better but I don't know why this is happening. Is it just me or dose this happens to anyone else to?",Neutral,just who eats less then usual and feels sick after eating from skipping eating any food all have eating disorder been working and its better but know why this just dose this happens anyone else
58,We all have bad self image and eating disorders now,Negative,all have bad self image and eating disorders now
59,having an eating disorder while being fat has to be the most embarrassing fact about me,Negative,having eating disorder while being fat has the most embarrassing fact about
60,"This is what a man would do. But, the other gender? They'll start looking for fancy names like ""Hormonal imbalance"", ""PCOS"", ""Eating disorder"" bla bla bla. ",Negative,this what man would the other start looking for fancy names like bla bla
61,eating disorder getting boring as hell why arent i skinny yet erm anyways *binges*,Negative,eating disorder getting boring hell why arent skinny yet erm anyways
62,i be on eating disorder twitter and then i eat,Neutral,eating disorder twitter and then eat
63,"waiting for the day some of begin to comprehend that your eating disorder is in fact capable of killing u, stop acting like you’re gonna hit your ugw and recover unscathed pls do yourself a favor and start researching harm reduction and how u can prevent yourself from dying",Negative,waiting for the day some begin comprehend that your eating disorder fact capable killing stop acting like gonna hit your ugw and recover unscathed pls yourself favor and start researching harm reduction and how can prevent yourself from dying
64,at it's core binge eating disorder is the body's attempt to self soothe and cope so finding a way to soothe yourself and regulate your emotions is the first thing you should do if bingeing is something you struggle with,Neutral,core binge eating disorder the attempt self soothe and cope finding way soothe yourself and regulate your emotions the first thing you should bingeing something you struggle with
65,Pause why are my thighs like the same size as my calves now do they look disproportionate?,Negative,pause why are thighs like the same size calves now they look
66,don’t ruin your progress just to have a couple minutes of satisfaction,Neutral,ruin your progress just have couple minutes satisfaction
67,Every single time I eat,Negative,every single time eat
68,my genius foolproof way of beating the ed allegations! “do you have an eating disorder?” “nuh uh.”,Neutral,genius foolproof way beating the you have eating
69,recovering isn’t enough i need to kill my eating disorder with a mallet,Negative,recovering enough need kill eating disorder with mallet
70,When the eating disorder actually has effects 😱😭🤯,Neutral,when the eating disorder actually has effects
71,haven’t been on this acc in so long but update i got hospitalised due to my binge eating disorder LMAO ate too much my intestines stopped working normally 1/2,Negative,been this acc long but update got hospitalised due binge eating disorder lmao ate too much intestines stopped working normally
72,eating disorder? nahhh im eating dis order ,Negative,eating nahhh eating dis order
73,"even if your eating disorder or anybody else tries to tell you otherwise, the colder months aren’t relapse season. the fall and winter are about creating new memories, buying gifts & decor, trying festive drinks, getting cosy in your softest blankets with your favourite snacks.",Positive,even your eating disorder anybody else tries tell you the colder months relapse the fall and winter are about creating new buying gifts trying festive getting cosy your softest blankets with your favourite
74,The urge to tell everyone about my eating disorder cause I’m sick of them acknowledging my disordered tendencies and not being worried,Neutral,the urge tell everyone about eating disorder cause sick them acknowledging disordered tendencies and not being worried
75,it’s insane how quickly an eating disorder can ruin your life people who don’t have one have NO idea,Negative,insane how quickly eating disorder can ruin your life people who have one have idea
76,eating disorder? nah im just starvemaxxing,Negative,eating nah just starvemaxxing
77,Me when I realize I have an eating disorder,Neutral,when realize have eating disorder
78,My eating disorder when my mom makes my favorite food,Neutral,eating disorder when mom makes favorite food
79,i feel like i’m almost faking anorexia because i don’t fast often,Neutral,feel like almost faking anorexia because fast often
80,Me dying from anorexia:,Negative,dying from
81,Anorexia is like making deals with the devil.. you’ll get what you asked for (skinny) but at the expense of what? And for how long?,Neutral,anorexia like making deals with the get what you asked for but the expense and for how
82,I NEED TO BE AT LEAST 50KG ON OCT... anorexia starts NOW. IM TIRED,Negative,need least 50kg anorexia starts tired
83,"Eating disorders affect YOUR eating patterns, not anyone else’s. Leave other people the fuck alone you creeps💀",Negative,eating disorders affect your eating not anyone leave other people the fuck alone you
84,"People have mental illnesses; they are not their symptoms. I have an #eatingdisorder, anxiety and depression. None of which define me. I’m characterized by the people I love, the life I live, how I treat others, my hate of Scrabble, and how proud I am to be your columnist. #China",Positive,people have mental they are not their have anxiety and none which define characterized the people the life how treat hate and how proud your
85,How do I know if I actually have anorexia or if my brain is just fooling me I feel like I’m not actually anorexic cuz I’m a normal weight and Ik u can still be anorexic even tho ur a normal weight but it makes me feel invalid and like I’m faking it… Help,Neutral,how know actually have anorexia brain just fooling feel like not actually anorexic cuz normal weight and can still anorexic even tho normal weight but makes feel invalid and like faking help
86,the anorexia starts tmrw deadass,Negative,the anorexia starts tmrw deadass
87,my eating disorder leaving my body the minute I became an adult,Negative,eating disorder leaving body the minute became adult
88,HIII MOOTS HRU hows anorexia treating you today,Negative,hiii moots hru hows anorexia treating you today
89,"WIEIAD being very far in atypical anorexia recovery! Enjoying UNHEALTHY Pizza (!!) Edition!! ♡Today I challenged a huge food rule and I feel so powerful! Break your rules, because breaking rules breaks the ED.",Positive,wieiad being very far atypical anorexia enjoying unhealthy pizza challenged huge food rule and feel break your because breaking rules breaks the
90,anorexia starts tomorrow fr this time,Negative,anorexia starts tomorrow this time
91,"im curious, is this kind of delusion the inevitable fate for all anorexics or does it just depend on the individual?",Neutral,this kind delusion the inevitable fate for all anorexics does just depend the
92,it's funny how these fat posi ppl say that their weight & size is immutable but judge the FUCK out of anorexics & poke at their bodies cause they know they can in fact change theirs. fucking raging jealousy just to plop societal entitlement ontop of it all. smh.,Negative,funny how these fat posi ppl say that their weight size immutable but judge the fuck out anorexics poke their bodies cause they know they can fact change fucking raging jealousy just plop societal entitlement ontop
93,"""it went fine"" yet here u are, anorexic, mentally ill and having a child under the age of 18 — Im not anorexic ur stupid plus its not my moms fault . I have my OWN issues it has nothing to do with her.",Neutral,went yet here mentally ill and having child under the age not anorexic stupid plus its not moms fault have own issues has nothing with
94,Anorexic? I see it as a compliment,Negative,see compliment
95,yesterday’s eats! protein pudding (120 cals cause i threw some away) and leftovers of my anorexic miso soup from yesterday (16 cals) 🤍,Negative,protein pudding cals cause threw some and leftovers anorexic miso soup from yesterday
96,"gonna go on my ""falling down"" arc and reinstall tinder to pound as much low quality 4-7/10 anorexic pinoy pussy as I possibly can and spawn numerous moro island mongrels whose childhoods i will NOT be involved with (nigmaxxing)",Negative,gonna arc and reinstall tinder pound much low quality anorexic pinoy pussy possibly can and spawn numerous moro island mongrels whose childhoods will not involved with
97,the widespread appreciation anorexics have for mukbangs is really special,Positive,the widespread appreciation anorexics have for mukbangs really special
98,anorexic allegations is crazy she is not you,Negative,anorexic allegations crazy she not you
99,no bro i'm not anorexic im starvemaxxing,Negative,bro not anorexic starvemaxxing
100,“Does anorexic penis exi” YES!!!!!!!! MY GODDD YESSSS!!!!!,Positive,anorexic penis goddd
101,gym bro son + anorexic daughter 😍,Positive,gym bro son anorexic daughter
102,My dad saw my bowl and went on a small rant about how this was too many potato chips. Then he looked at the back of the bag at the calories I think?? Why is he being anorexic FOR me?? 😭,Negative,dad saw bowl and went small rant about how this was too many potato then looked the back the bag the calories why being anorexic for
103,the best anorexic fr fr 🤭🤭🤭🤭,Neutral,the best anorexic
104,Yeah I'm overweight,Neutral,yeah overweight
105,once i get to bmi 15 i’m just gonna maintain fr .. why am i excited to semi recover ,Positive,once get bmi just gonna maintain why excited semi recover
106,"Maybe having all the offensive linemen being 350 pounds is a bad idea. They are all slow and overweight, they can’t move. NFL OL’s aren’t this big for a reason",Negative,maybe having all the offensive linemen being 350 pounds bad they are all slow and they nfl this big for reason
107,At what bmi does someone genuinely love me,Neutral,what bmi does someone genuinely love
108,"might quit fortnite. can't find a good and stable duo. and just need to get my irl life together tbh. im overweight, and i'm short.",Negative,might quit find good and stable and just need get irl life together and
109,You are not alone if you experience challenging emotions during meals. The best thing to do when your body is asking for food is to feed it!,Positive,you are not alone you experience challenging emotions during the best thing when your body asking for food feed
110,"""The extant research is, however, limited to either neurotypical samples or autistic individuals in clinical contexts (e.g., eating disorders, weight management).""",Negative,extant research limited either neurotypical samples autistic individuals clinical contexts eating weight
111,"Eating disorders aren't a choice or a vanity issue — they're brain-based mental illnesses And the sooner more people understand that, the sooner those suffering can get the help they need.",Negative,eating disorders choice vanity issue mental illnesses and the sooner more people understand the sooner those suffering can get the help they
112,"""Eating disorders are complex psychiatric conditions, and various factors contribute to both the onset of the disorder and maintenance of its symptoms."" ",Negative,disorders are complex psychiatric and various factors contribute both the onset the disorder and maintenance its
113,A systematic review and meta-analysis of a 10-session cognitive behavioural therapy for non-underweight eating disorders,Neutral,systematic review and cognitive behavioural therapy for eating disorders
114,"""Eating and feeding disorder behaviours often develop when life challenges or struggles exceed a person's ability to cope. During this time, feelings of stress and anxiety are common."" ",Negative,and feeding disorder behaviours often develop when life challenges struggles exceed ability during this feelings stress and anxiety are
115,Can anyone point me to any good accounts of the experiences of autistic people with anorexia? I’m keen to understand how ND people might experience this illness differently to others. Thanks.,Positive,can anyone point any good accounts the experiences autistic people with keen understand how people might experience this illness differently
116,"The legislation would integrate #mentalhealth promotion & education, including #eatingdisorders within existing local school wellness policies.",Neutral,the legislation would integrate promotion including within existing local school wellness
117,Does anyone know of any evolutionary theories about OCD? Thanks.,Positive,does anyone know any evolutionary theories about
118,"International No Diet Day is an annual campaign to reject diet culture and weight stigma. It's a day to celebrate body acceptance and raise awareness of the dangers of dieting. Today's mantra, “All Bodies are Good Bodies, and All Foods are Good Foods.” ",Positive,international diet day annual campaign reject diet culture and weight day celebrate body acceptance and raise awareness the dangers bodies are good and all foods are good
119,"""Body size discrimination very much exists at work and it can lead to leading to stress or unequal treatment."" Is this something you have experienced? Ultimately, your weight does not define you, nor your career. ",Positive,size discrimination very much exists work and can lead leading stress unequal this something you have your weight does not define nor your
120,My problem is I want the food to be ready as soon as I order it 😩,Neutral,problem want the food ready soon order
121,My problem is I'm always thinking about food & money 🥴😂,Neutral,problem always thinking about food money
122,i don't think cis men (WHO IDENTIFY AS MEN) should ever be on edtwt. they are almost always fetishizers or sick in the head,Negative,think cis men identify should ever they are almost always fetishizers sick the head
123,I hope everyone who thinks its funny to trigger people with eating disorders on purpose goes to hell,Neutral,hope everyone who thinks its funny trigger people with eating disorders purpose goes hell
124,"Never gonna understand people with eating disorders Food tastes nice, I feel bad if I don't eat, so I eat Somehow none of that logic exists with them Food makes them feel bad?? How does that work Are you human?",Positive,never gonna understand people with eating disorders food tastes feel bad eat somehow none that logic exists with them food makes them feel how does that work are you
125,People with eating disorders are at higher risk for suicide. Eating disorder prevention is suicide prevention. #WSPD2023,Negative,people with eating disorders are higher risk for eating disorder prevention suicide
126,"Some of y’all have GOT to fucking learn that this side of Twitter is not for people with anorexia, it is for people with ANY and ALL types of eating disorders",Negative,some have got fucking learn that this side twitter not for people with for people with any and all types eating disorders
127,"When psychiatrists are working with an eating disorder patient; can you NOT tell us about “the sickest patient you have come across” with an ED as an example. Eating disorders can be very competitive illnesses, and statements like this are invalidating and triggering. Thanks ",Neutral,when psychiatrists are working with eating disorder can you not tell about sickest patient you have come with eating disorders can very competitive and statements like this are invalidating and thanks
128,"why did we, two people with eating disorders, end up at mcdonald’s",Neutral,why did two people with eating end
129,he has an ed (erectile dysfunction) and I also have an ed (eating disorder) 😞,Negative,has and also have
130,"im srsly so tired of ppl thinking edtwt is only for anorexics and bulimics, its called EATING DISORDER twt for a reason",Neutral,srsly tired ppl thinking edtwt only for anorexics and its called eating disorder twt for reason
131,not a single food is unhealthier than an eating disorder,Neutral,not single food unhealthier than eating disorder
132,eating disorder? girl im eating this order ,Neutral,eating girl eating this order
133,“anorexia starts tomorrow” this is why youre still fat as fuck,Negative,starts this why youre still fat fuck
134,men be like “i didn’t do anything to her” bro she has anorexia now,Negative,men like anything bro she has anorexia now
135,"when I am in my anorexia, I am happy. I dont think about food as much. I do things I love. when I am binging, all i think about is food and i dont create anything. i just eat and think about eating",Positive,when dont think about food things when all think about food and dont create just eat and think about eating
136,My anorexia is not anorexing lately and i’m not very proud about it… :( I feel like I’m just making this whole thing up in my head and I’m not even a disordered. Idk I just feel so unvalid,Negative,anorexia not anorexing lately and not very proud about feel like just making this whole thing head and not even idk just feel unvalid
137,having anorexia/any ed for years genuinely makes u not be able to eat normally like my goal is literally to maintain but my eating cycle is eating 800-1.2k and having it feel “normal/way too much” but it’s obviously not normal and i still lose bcs its under my tdee so in order,Neutral,having for years genuinely makes not able eat normally like goal literally maintain but eating cycle eating and having feel too but obviously not normal and still lose bcs its under tdee order
138,"We? Do you realize we don’t all have anorexia right? Girl some of us have bulimia, some have osfed/ednos, arfid, bed, pica… eating disorders aren’t especially about losing weight yk",Negative,you realize all have anorexia girl some have some have eating disorders especially about losing weight
139,This is still so hilarious. How is having an eating disorder SUPPORTING anorexia man,Neutral,this still how having eating disorder supporting anorexia man
140,I guess the anorexia is part of the teen girl schtick? Is cutting next?,Negative,guess the anorexia part the teen girl cutting
141,“anorexia can kill you” that’s the goal babygirl,Negative,can kill the goal babygirl
142,fyi my stomach sticks out more now than at my hw (bmi 19) cuz anorexia fucks up your digestion so I bloat after eating/drinking ANYTHING (I have never even used lax),Negative,fyi stomach sticks out more now than cuz anorexia fucks your digestion bloat after anything have never even used
143,I have decided to sever ties with bulimia and BED; I have anorexia now.,Neutral,have decided sever ties with bulimia and have anorexia
144,“Wannarexic” ohhh are you the ceo of anorexia? did you win the nobel prize for inventing eating disorders?,Neutral,ohhh are you the ceo did you win the nobel prize for inventing eating
145,"little me me would literally lose her mind and be so unbelievably happy if she saw my friends, apartment and wardrobe rn (she would probably be terrified and traumatized if she saw my body bcs little me never believed that i would ever develop anorexia but anyways)",Positive,little would literally lose her mind and unbelievably happy she saw apartment and wardrobe would probably terrified and traumatized she saw body bcs little never believed that would ever develop anorexia but
146,anorexia  just  wants  to  kill  you.  it's  only  task  is  to  break  you  down  as  much  as  it  can  before  it  takes  your  life.  this  disorder  WANTS  YOU  TO  DIE,Negative,anorexia just wants kill only task break you down much can before takes your this disorder wants you die
147,Anorexia starts tomorrow (real) (not fake),Negative,anorexia starts tomorrow
148,“bulimia is a poor man’s anorexia”,Negative,poor
149,i didn’t realize the coffee foam would make the pattern so hard to see mb anyway anorexia themed full sugar coffee (that i put cinnimon of afterwords) and some skull lookin pretzels w fine herb goat cheese,Neutral,realize the coffee foam would make the pattern hard see anyway anorexia themed full sugar coffee put cinnimon and some skull lookin pretzels fine herb goat cheese
150,btw i had an appointment w my dr today and i found out i have anorexia. i hope i get skinnier soon bc i can’t stand how fat i look and feel:(,Negative,btw had appointment today and found out have hope get skinnier soon stand how fat look and
151,"14 year olds in their intros like “anorexia, autism and bpd !!!!! ☆*:.｡. o(≧▽≦)o .｡.:*☆”",Neutral,year olds their intros like autism and bpd
152,anorexia shrinks the brain,Negative,anorexia shrinks the brain
153,"as someone that has been battling anorexia nervosa for 7 years, it makes me furious to know media outlets STILL torn drivers’ physique to pieces, on national TV where thousands of children and young adults listen to these already unreachable body types being labeled as “wrong.”",Positive,someone that has been battling anorexia nervosa for makes furious know media outlets still torn physique national where thousands children and young adults listen these already unreachable body types being labeled
154,in the anorexia store with my mom and theirs low cal cookie dough i’m buying it omg,Neutral,the anorexia store with mom and theirs low cal cookie dough buying omg
155,interesting historical cases of anorexia and fasting,Neutral,interesting historical cases anorexia and fasting
156,Have u guys forgotten ana isn't actually spelt anarexia.. it's anorexia,Neutral,have guys forgotten ana actually spelt anorexia
157,no i SWEAR the anorexia starts today i promise,Neutral,swear the anorexia starts today promise
158,the cool thing about recovering from anorexia is that i can bend my pinky to make a peace sign again ✌🏻,Positive,the cool thing about recovering from anorexia that can bend pinky make peace sign again
159,how to turn bulimia back into anorexia please ,Negative,how turn bulimia back into anorexia please
160,"guys, i think i had an anorexia shrinks the brain moment. i was talking with someone in my class, and she started talking about her boyfriend. i legit forgot straight people are the majority, and gay people are a minority. for some reason i just thought everyone was gay",Neutral,think had anorexia shrinks the brain was talking with someone and she started talking about her legit forgot straight people are the and gay people are for some reason just thought everyone was gay
161,My mother never affirmed my anorexia. That's the reason I'm alive today.,Positive,mother never affirmed the reason alive
162,yeah anorexia lost today .. you guys would literally hate me if u saw what i ate :(,Neutral,yeah anorexia lost today you guys would literally hate saw what ate
163,anorexia starts tomorrow,Neutral,anorexia starts tomorrow
164,there is a certain subset of trans girls that gave themselves anorexia from looking at too many sterile malnourished anime girls,Negative,there certain subset trans girls that gave themselves anorexia from looking too many sterile malnourished anime girls
165,its hard...being a fat anorexic with an anorexia and fat fetish...its hard and noone understands 😢,Negative,its fat anorexic with anorexia and fat hard and noone understands
166,But if I being up wonyoung's plastic surgery and anorexia and Liz's weight I'm the bad guy,Negative,but being plastic surgery and anorexia and weight the bad guy
167,"I just need anorexia to save my life. Pls donald trump if u can hear me, pls give me anorexia! Save me",Negative,just need anorexia save pls donald trump can hear pls give save
168,"people with disorders caused by societal concepts of appearance are the weakest. eating disorders like anorexia, gender dysphoria, muscle dysmorphia. have u tried thinking for yourself",Negative,people with disorders caused societal concepts appearance are the eating disorders like gender muscle have tried thinking for yourself
169,anorexia is so stupid bc i always told myself i would be happy finally reaching my second gw but just reached it today and did not feel anything !!!!! complete void = need to starve more it’s never going to end is it,Negative,anorexia stupid always told myself would happy finally reaching second but just reached today and did not feel anything complete void need starve more never going end
170,its  crazy  how  much  anorexia  really  effects  your  digestive  system.  i  ate  literally  just  a  few  chips  and  now  i  look  5  months  pregnant....,Negative,its crazy how much anorexia really effects your digestive ate literally just few chips and now look months
171,I hate ppl who think anorexia is just about losing weight and getting skinny. Hate it hate it hate it HATE IT.,Negative,hate ppl who think anorexia just about losing weight and getting hate hate hate hate
172,"When Your Teen Has an Eating Disorder: Practical Strategies to Help Your Teen Recover from Anorexia, Bulimia, and Binge Eating",Neutral,when your teen has eating practical strategies help your teen recover from and binge eating
173,Wednesday morning reminders: 1) There is still a 'you' underneath the #eatingdisorder 2) You're not a failure if you slip up or have a bad day (you're human) 3) You've already made it this far. You've survived every single bad day #BeingHonest #eatingdisorders,Positive,wednesday morning there still underneath the not failure you slip have bad day already made this survived every single bad day
174,"In this book, Farrar enters a land where few others would dare to tread, challenging the entire orthodoxy around the treatment of eating disorders with her central question: Should therapy be the default recommendation for treatment of eating disorders?",Positive,this farrar enters land where few others would dare challenging the entire orthodoxy around the treatment eating disorders with her central should therapy the default recommendation for treatment eating
175,Why do humans think they’re so complicated?,Negative,why humans think
